size,width_mm,height_mm,width_in,height_in
A0,841,1189,33.1102,46.811
A1,594,841,23.3858,33.1102
A2,420,594,16.5354,23.3858
A3,297,420,11.6929,16.5354
A4,210,297,8.2677,11.6929
A5,148,210,5.8268,8.2677
A6,105,148,4.1339,5.8268
A7,74,105,2.9134,4.1339
A8,52,74,2.0472,2.9134
A9,37,52,1.4567,2.0472
A10,26,37,1.0236,1.4567
B0,1000,1414,39.3701,55.6693
B1,707,1000,27.8346,39.3701
B2,500,707,19.685,27.8346
B3,353,500,13.8976,19.685
B4,250,353,9.8425,13.8976
B5,176,250,6.9291,9.8425
B6,125,176,4.9213,6.9291
B7,88,125,3.4646,4.9213
B8,62,88,2.4409,3.4646
B9,44,62,1.7323,2.4409
B10,31,44,1.2205,1.7323
C0,917,1297,36.1024,51.063
C1,648,917,25.5118,36.1024
C2,458,648,18.0315,25.5118
C3,324,458,12.7559,18.0315
C4,229,324,9.0157,12.7559
C5,162,229,6.378,9.0157
C6,114,162,4.4882,6.378
C7,81,114,3.189,4.4882
C8,57,81,2.2441,3.189
C9,40,57,1.5748,2.2441
C10,28,40,1.1024,1.5748
